sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1370,2227,+,100.0,100.0
seq_0,tet(C),tetracycline efflux MFS transporter Tet(C),4252,5148,-,100.0,75.51
seq_1,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1720,2577,+,100.0,100.0
seq_11,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1113,1925,+,99.26,100.0
seq_11,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,3891,4703,-,99.63,100.0
seq_14,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2436,3293,-,100.0,100.0
seq_16,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1339,2151,-,100.0,100.0
seq_2,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1122,1979,+,100.0,100.0
seq_21,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,1609,2397,-,100.0,100.0
seq_23,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2793,3584,-,100.0,100.0
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6735,7592,-,100.0,100.0
seq_24,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1246,2058,-,100.0,100.0
seq_27,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1972,2829,-,100.0,100.0
seq_28,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1561,2367,+,99.26,100.0
seq_29,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,975,1748,-,100.0,75.66
seq_29,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4458,5315,-,100.0,100.0
seq_3,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2248,3105,-,100.0,100.0
seq_30,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,3622,4434,-,100.0,100.0
seq_30,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,10206,11063,-,100.0,100.0
seq_31,blaTEM-171,class A beta-lactamase TEM-171,2499,3356,+,100.0,100.0
seq_32,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1881,2738,-,100.0,100.0
seq_33,catA1,type A-1 chloramphenicol O-acetyltransferase,2073,2477,-,100.0,61.64
seq_33,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,3794,4600,+,99.26,100.0
seq_34,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,774,1631,+,100.0,100.0
seq_35,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1826,2683,-,100.0,100.0
seq_35,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4145,5002,-,100.0,100.0
seq_35,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,6363,7154,+,100.0,100.0
seq_35,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,7472,8263,-,100.0,100.0
seq_36,blaTEM-171,class A beta-lactamase TEM-171,2140,2997,-,100.0,100.0
seq_36,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,4460,5317,+,100.0,100.0
seq_36,tet(C),tetracycline efflux MFS transporter Tet(C),7339,8235,-,100.0,75.51
seq_36,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,9520,10332,-,100.0,100.0
seq_38,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2577,3389,-,100.0,100.0
seq_39,tet(C),tetracycline efflux MFS transporter Tet(C),2204,3199,+,100.0,83.84
seq_39,catA1,type A-1 chloramphenicol O-acetyltransferase,4238,4675,-,100.0,66.67
seq_4,blaTEM-171,class A beta-lactamase TEM-171,883,1740,+,100.0,100.0
seq_43,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2706,3563,-,100.0,100.0
seq_44,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,944,1756,+,100.0,100.0
seq_47,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1346,2158,+,100.0,100.0
seq_49,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2346,3203,-,100.0,100.0
seq_5,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2686,3543,+,100.0,100.0
seq_5,tet(C),tetracycline efflux MFS transporter Tet(C),5568,6464,-,100.0,75.51
seq_5,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,7687,8499,-,100.0,100.0
seq_5,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,12622,13479,+,100.0,100.0
seq_50,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,4512,5369,-,100.0,100.0
seq_51,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1249,2061,-,99.63,100.0
seq_51,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5180,5992,-,100.0,100.0
seq_53,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2014,2826,-,100.0,100.0
seq_53,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2984,3841,-,100.0,100.0
seq_53,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5262,6074,-,99.63,100.0
seq_56,blaTEM-171,class A beta-lactamase TEM-171,1529,2386,+,100.0,100.0
seq_57,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2984,3769,+,100.0,97.4
seq_58,blaTEM,TEM family class A beta-lactamase,28,885,+,99.65,100.0
seq_58,blaTEM-181,class A beta-lactamase TEM-181,6121,6978,+,100.0,100.0
seq_59,catA1,type A-1 chloramphenicol O-acetyltransferase,3833,4489,+,100.0,100.0
seq_6,catA1,type A-1 chloramphenicol O-acetyltransferase,135,791,-,100.0,100.0
seq_6,catA1,type A-1 chloramphenicol O-acetyltransferase,2514,3170,-,100.0,100.0
seq_6,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,5700,6719,+,100.0,99.71
seq_6,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,8070,8927,-,100.0,100.0
seq_60,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2523,3335,-,100.0,100.0
seq_60,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3493,4350,-,100.0,100.0
seq_62,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,53,910,-,100.0,100.0
seq_62,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,6692,7498,+,100.0,100.0
seq_63,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1108,1920,+,99.26,100.0
seq_64,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2832,3638,+,99.26,100.0
seq_65,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1831,2688,-,100.0,100.0
seq_67,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2026,2838,-,100.0,100.0
seq_67,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2996,3853,-,100.0,100.0
seq_67,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5377,6234,-,100.0,100.0
seq_68,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1144,2001,+,100.0,100.0
seq_69,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,975,1748,-,100.0,75.66
seq_69,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2512,3369,-,100.0,100.0
seq_69,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,11026,11883,-,100.0,100.0
seq_7,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2148,3005,-,100.0,100.0
seq_7,aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,6247,6681,+,100.0,94.16
seq_70,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,3587,4399,-,100.0,100.0
seq_71,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2131,2988,-,100.0,100.0
seq_71,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4216,5073,+,100.0,100.0
seq_72,catA1,type A-1 chloramphenicol O-acetyltransferase,2009,2665,+,100.0,100.0
seq_72,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5352,6209,-,100.0,100.0
seq_73,catA1,type A-1 chloramphenicol O-acetyltransferase,1176,1832,+,100.0,100.0
seq_75,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2971,3828,-,100.0,100.0
seq_75,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,4103,4894,-,100.0,100.0
seq_75,catA1,type A-1 chloramphenicol O-acetyltransferase,6913,7569,-,100.0,100.0
seq_75,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,10491,11297,+,99.26,100.0
seq_77,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6262,7119,-,100.0,100.0
seq_78,blaTEM-171,class A beta-lactamase TEM-171,7504,8361,-,100.0,100.0
