sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1177,1989,-,100.0,100.0
seq_1,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1408,2265,+,100.0,100.0
seq_1,tet(C),tetracycline efflux MFS transporter Tet(C),4287,4907,-,100.0,52.27
seq_10,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1008,1820,-,100.0,100.0
seq_11,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2107,2919,-,100.0,100.0
seq_12,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,823,1635,-,100.0,100.0
seq_13,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1305,2111,+,100.0,100.0
seq_13,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3460,4317,-,100.0,100.0
seq_13,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5011,5823,-,100.0,100.0
seq_14,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1174,1986,-,100.0,100.0
seq_15,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1662,2474,-,100.0,100.0
seq_16,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2724,3581,-,100.0,100.0
seq_17,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1656,2468,-,100.0,100.0
seq_18,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1164,1976,-,100.0,100.0
seq_2,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2141,2953,-,100.0,100.0
seq_20,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,867,1679,-,100.0,100.0
seq_21,aph(4)-Ia,aminoglycoside O-phosphotransferase APH(4)-Ia,1311,2330,+,100.0,99.71
seq_21,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,3682,4539,-,100.0,100.0
seq_22,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,859,1671,-,100.0,100.0
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2152,3009,-,100.0,100.0
seq_24,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1274,2086,-,100.0,100.0
seq_25,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1518,2330,-,100.0,100.0
seq_26,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,956,1768,-,100.0,100.0
seq_27,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1886,2743,-,100.0,100.0
seq_27,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,6627,7439,-,100.0,100.0
seq_28,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1300,2112,-,100.0,100.0
seq_29,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,2617,3474,-,100.0,100.0
seq_3,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,2036,2848,-,100.0,100.0
seq_30,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,910,1722,-,100.0,100.0
seq_31,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1648,2460,-,100.0,100.0
seq_32,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1734,2591,-,100.0,100.0
seq_33,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1708,2565,+,100.0,100.0
seq_33,tet(C),tetracycline efflux MFS transporter Tet(C),4587,5207,-,100.0,52.27
seq_34,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1962,2819,-,100.0,100.0
