sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_0,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1819,2676,+,100.0,100.0
seq_0,tet(C),tetracycline efflux MFS transporter Tet(C),4698,5318,-,100.0,52.27
seq_1,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1663,2475,-,100.0,100.0
seq_10,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,763,1620,+,100.0,100.0
seq_10,tet(C),tetracycline efflux MFS transporter Tet(C),3642,4262,-,100.0,52.27
seq_11,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1646,2503,+,100.0,100.0
seq_11,tet(C),tetracycline efflux MFS transporter Tet(C),4525,5145,-,100.0,52.27
seq_12,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,704,1561,+,100.0,100.0
seq_12,tet(C),tetracycline efflux MFS transporter Tet(C),3583,4203,-,100.0,52.27
seq_13,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1384,2241,+,100.0,100.0
seq_13,tet(C),tetracycline efflux MFS transporter Tet(C),4263,4883,-,100.0,52.27
seq_14,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1045,1902,+,100.0,100.0
seq_14,tet(C),tetracycline efflux MFS transporter Tet(C),3924,4544,-,100.0,52.27
seq_15,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1491,2348,+,100.0,100.0
seq_15,tet(C),tetracycline efflux MFS transporter Tet(C),4370,4990,-,100.0,52.27
seq_17,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1658,2470,-,100.0,100.0
seq_18,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1232,2089,+,100.0,100.0
seq_18,tet(C),tetracycline efflux MFS transporter Tet(C),4111,4731,-,100.0,52.27
seq_19,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_19,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_2,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1131,1988,+,100.0,100.0
seq_2,tet(C),tetracycline efflux MFS transporter Tet(C),4010,4630,-,100.0,52.27
seq_20,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1133,1990,+,100.0,100.0
seq_20,tet(C),tetracycline efflux MFS transporter Tet(C),4012,4632,-,100.0,52.27
seq_21,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1329,2186,+,100.0,100.0
seq_21,tet(C),tetracycline efflux MFS transporter Tet(C),4208,4828,-,100.0,52.27
seq_22,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1052,1909,+,100.0,100.0
seq_22,tet(C),tetracycline efflux MFS transporter Tet(C),3931,4551,-,100.0,52.27
seq_23,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1446,2303,+,100.0,100.0
seq_23,tet(C),tetracycline efflux MFS transporter Tet(C),4325,4945,-,100.0,52.27
seq_24,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1061,1918,+,100.0,100.0
seq_24,tet(C),tetracycline efflux MFS transporter Tet(C),3940,4560,-,100.0,52.27
seq_25,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1448,2305,+,100.0,100.0
seq_25,tet(C),tetracycline efflux MFS transporter Tet(C),4327,4947,-,100.0,52.27
seq_26,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1370,2227,+,100.0,100.0
seq_26,tet(C),tetracycline efflux MFS transporter Tet(C),4249,4869,-,100.0,52.27
seq_27,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_27,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_28,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,960,1817,+,100.0,100.0
seq_28,tet(C),tetracycline efflux MFS transporter Tet(C),3839,4459,-,100.0,52.27
seq_29,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1501,2358,+,100.0,100.0
seq_29,tet(C),tetracycline efflux MFS transporter Tet(C),4380,5000,-,100.0,52.27
seq_3,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_3,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_30,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1091,1948,+,100.0,100.0
seq_30,tet(C),tetracycline efflux MFS transporter Tet(C),3970,4590,-,100.0,52.27
seq_31,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1464,2321,+,100.0,100.0
seq_31,tet(C),tetracycline efflux MFS transporter Tet(C),4343,4963,-,100.0,52.27
seq_32,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1272,2129,+,100.0,100.0
seq_32,tet(C),tetracycline efflux MFS transporter Tet(C),4151,4771,-,100.0,52.27
seq_33,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1454,2311,+,100.0,100.0
seq_33,tet(C),tetracycline efflux MFS transporter Tet(C),4333,4953,-,100.0,52.27
seq_34,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1169,2026,+,100.0,100.0
seq_34,tet(C),tetracycline efflux MFS transporter Tet(C),4048,4668,-,100.0,52.27
seq_35,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1644,2501,+,100.0,100.0
seq_35,tet(C),tetracycline efflux MFS transporter Tet(C),4523,5143,-,100.0,52.27
seq_36,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1677,2534,+,100.0,100.0
seq_36,tet(C),tetracycline efflux MFS transporter Tet(C),4556,5176,-,100.0,52.27
seq_37,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_37,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_38,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,938,1795,+,100.0,100.0
seq_38,tet(C),tetracycline efflux MFS transporter Tet(C),3817,4437,-,100.0,52.27
seq_39,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1553,2410,+,100.0,100.0
seq_39,tet(C),tetracycline efflux MFS transporter Tet(C),4432,5052,-,100.0,52.27
seq_4,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1198,2055,+,100.0,100.0
seq_4,tet(C),tetracycline efflux MFS transporter Tet(C),4077,4697,-,100.0,52.27
seq_40,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1071,1928,+,100.0,100.0
seq_40,tet(C),tetracycline efflux MFS transporter Tet(C),3950,4570,-,100.0,52.27
seq_41,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_41,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_42,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1246,2103,+,100.0,100.0
seq_42,tet(C),tetracycline efflux MFS transporter Tet(C),4125,4745,-,100.0,52.27
seq_43,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1459,2316,+,100.0,100.0
seq_43,tet(C),tetracycline efflux MFS transporter Tet(C),4338,4958,-,100.0,52.27
seq_44,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,957,1814,+,100.0,100.0
seq_44,tet(C),tetracycline efflux MFS transporter Tet(C),3836,4456,-,100.0,52.27
seq_45,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1654,2511,+,100.0,100.0
seq_45,tet(C),tetracycline efflux MFS transporter Tet(C),4533,5153,-,100.0,52.27
seq_46,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1002,1859,+,100.0,100.0
seq_46,tet(C),tetracycline efflux MFS transporter Tet(C),3881,4501,-,100.0,52.27
seq_47,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_47,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_48,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,1026,1838,-,100.0,100.0
seq_49,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_49,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_5,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_5,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_50,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,818,1675,+,100.0,100.0
seq_50,tet(C),tetracycline efflux MFS transporter Tet(C),3697,4317,-,100.0,52.27
seq_51,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_51,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_52,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,798,1655,+,100.0,100.0
seq_52,tet(C),tetracycline efflux MFS transporter Tet(C),3677,4297,-,100.0,52.27
seq_53,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_53,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_54,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1067,1924,+,100.0,100.0
seq_54,tet(C),tetracycline efflux MFS transporter Tet(C),3946,4566,-,100.0,52.27
seq_55,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1462,2319,+,100.0,100.0
seq_55,tet(C),tetracycline efflux MFS transporter Tet(C),4341,4961,-,100.0,52.27
seq_56,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1127,1984,+,100.0,100.0
seq_56,tet(C),tetracycline efflux MFS transporter Tet(C),4006,4626,-,100.0,52.27
seq_57,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1378,2235,+,100.0,100.0
seq_57,tet(C),tetracycline efflux MFS transporter Tet(C),4257,4877,-,100.0,52.27
seq_58,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,736,1593,+,100.0,100.0
seq_58,tet(C),tetracycline efflux MFS transporter Tet(C),3615,4235,-,100.0,52.27
seq_59,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1637,2494,+,100.0,100.0
seq_59,tet(C),tetracycline efflux MFS transporter Tet(C),4516,5136,-,100.0,52.27
seq_6,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1027,1884,+,100.0,100.0
seq_6,tet(C),tetracycline efflux MFS transporter Tet(C),3906,4526,-,100.0,52.27
seq_60,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,973,1830,+,100.0,100.0
seq_60,tet(C),tetracycline efflux MFS transporter Tet(C),3852,4472,-,100.0,52.27
seq_61,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,1510,2367,+,100.0,100.0
seq_61,tet(C),tetracycline efflux MFS transporter Tet(C),4389,5009,-,100.0,52.27
