query_id	query_length	subject_id	subject_title	subject_length	align_length	identities	pct_identity	query_coverage	subject_coverage	evalue	bitscore
Base_seq_1	5084	gi|1468802550|gb|MG569794.1|	gi|1468802550|gb|MG569794.1| Cloning vector pMRH11, complete sequence.	4962	2046	2040	99.71	40.24	41.23	0.0	3740.59
Base_seq_1	5084	gi|1468802550|gb|MG569794.1|	gi|1468802550|gb|MG569794.1| Cloning vector pMRH11, complete sequence.	4962	164	162	98.78	3.23	3.31	1.28125e-72	291.044
Base_seq_1	5084	gi|1468802550|gb|MG569794.1|	gi|1468802550|gb|MG569794.1| Cloning vector pMRH11, complete sequence.	4962	130	130	100.0	2.56	2.62	1.30873e-57	241.185
Base_seq_1	5084	gi|1468802550|gb|MG569794.1|	gi|1468802550|gb|MG569794.1| Cloning vector pMRH11, complete sequence.	4962	117	117	100.0	2.3	2.36	2.20551e-50	217.178
Base_seq_1	5084	gi|336455237|gb|JF796092.1|	gi|336455237|gb|JF796092.1| Reporter gene-fusion vector pFU95, complete sequence	3230	2076	2045	98.51	40.83	64.27	0.0	3642.71
Base_seq_1	5084	gi|336455237|gb|JF796092.1|	gi|336455237|gb|JF796092.1| Reporter gene-fusion vector pFU95, complete sequence	3230	826	809	97.94	16.25	25.57	0.0	1424.89
Base_seq_1	5084	gi|336455237|gb|JF796092.1|	gi|336455237|gb|JF796092.1| Reporter gene-fusion vector pFU95, complete sequence	3230	78	78	100.0	1.53	2.41	1.05558e-28	145.159
Base_seq_1	5084	gi|336455208|gb|JF796085.1|	gi|336455208|gb|JF796085.1| Reporter gene-fusion vector pFU64, complete sequence	2861	2076	2045	98.51	40.83	72.56	0.0	3642.71
Base_seq_1	5084	gi|336455208|gb|JF796085.1|	gi|336455208|gb|JF796085.1| Reporter gene-fusion vector pFU64, complete sequence	2861	772	601	77.85	15.18	26.98	4.29344e-122	455.396
Base_seq_1	5084	gi|336455208|gb|JF796085.1|	gi|336455208|gb|JF796085.1| Reporter gene-fusion vector pFU64, complete sequence	2861	78	78	100.0	1.53	2.73	1.05558e-28	145.159
Base_seq_1	5084	gi|336455211|gb|JF796086.1|	gi|336455211|gb|JF796086.1| Reporter gene-fusion vector pFU78, complete sequence	2861	2076	2045	98.51	40.83	72.56	0.0	3642.71
Base_seq_1	5084	gi|336455211|gb|JF796086.1|	gi|336455211|gb|JF796086.1| Reporter gene-fusion vector pFU78, complete sequence	2861	78	78	100.0	1.53	2.73	1.05558e-28	145.159
Base_seq_1	5084	gi|336455211|gb|JF796086.1|	gi|336455211|gb|JF796086.1| Reporter gene-fusion vector pFU78, complete sequence	2861	78	78	100.0	1.53	2.73	1.05558e-28	145.159
Base_seq_1	5084	gi|336455214|gb|JF796087.1|	gi|336455214|gb|JF796087.1| Reporter gene-fusion vector pFU81, complete sequence	2875	2076	2045	98.51	40.83	72.21	0.0	3642.71
Base_seq_1	5084	gi|336455214|gb|JF796087.1|	gi|336455214|gb|JF796087.1| Reporter gene-fusion vector pFU81, complete sequence	2875	78	78	100.0	1.53	2.71	1.05558e-28	145.159
Base_seq_1	5084	gi|336455214|gb|JF796087.1|	gi|336455214|gb|JF796087.1| Reporter gene-fusion vector pFU81, complete sequence	2875	78	78	100.0	1.53	2.71	1.05558e-28	145.159
Base_seq_3	5655	gi|1812103655|gb|MN604399.1|	gi|1812103655|gb|MN604399.1| Entry vector pNC-KEn, complete sequence	3271	2540	2537	99.88	44.92	77.65	0.0	4674.99
Base_seq_3	5655	gi|1812103655|gb|MN604399.1|	gi|1812103655|gb|MN604399.1| Entry vector pNC-KEn, complete sequence	3271	98	94	95.92	1.73	3.0	4.19644e-33	159.932
Base_seq_3	5655	gi|1812103655|gb|MN604399.1|	gi|1812103655|gb|MN604399.1| Entry vector pNC-KEn, complete sequence	3271	95	92	96.84	1.68	2.9	4.19644e-33	159.932
Base_seq_3	5655	gi|1812103655|gb|MN604399.1|	gi|1812103655|gb|MN604399.1| Entry vector pNC-KEn, complete sequence	3271	80	79	98.75	1.41	2.45	4.22623e-28	143.312
Base_seq_3	5655	gi|1822133646|gb|MN294716.1|	gi|1822133646|gb|MN294716.1| Cloning vector 4-UBI:NPTII:PINII, complete sequence	5780	2540	2535	99.8	44.92	43.94	0.0	4663.91
Base_seq_3	5655	gi|1822133646|gb|MN294716.1|	gi|1822133646|gb|MN294716.1| Cloning vector 4-UBI:NPTII:PINII, complete sequence	5780	98	93	94.9	1.73	1.7	1.95241e-31	154.392
Base_seq_3	5655	gi|1822133646|gb|MN294716.1|	gi|1822133646|gb|MN294716.1| Cloning vector 4-UBI:NPTII:PINII, complete sequence	5780	95	91	95.79	1.68	1.64	1.95241e-31	154.392
Base_seq_3	5655	gi|1822133646|gb|MN294716.1|	gi|1822133646|gb|MN294716.1| Cloning vector 4-UBI:NPTII:PINII, complete sequence	5780	80	79	98.75	1.41	1.38	4.22623e-28	143.312
Base_seq_3	5655	gi|1822133639|gb|MN294713.1|	gi|1822133639|gb|MN294713.1| Cloning vector 1-UBI_Cas9_PinII, complete sequence	9396	2540	2535	99.8	44.92	27.03	0.0	4663.91
Base_seq_3	5655	gi|1822133639|gb|MN294713.1|	gi|1822133639|gb|MN294713.1| Cloning vector 1-UBI_Cas9_PinII, complete sequence	9396	98	93	94.9	1.73	1.04	1.95241e-31	154.392
Base_seq_3	5655	gi|1822133639|gb|MN294713.1|	gi|1822133639|gb|MN294713.1| Cloning vector 1-UBI_Cas9_PinII, complete sequence	9396	95	91	95.79	1.68	1.01	1.95241e-31	154.392
Base_seq_3	5655	gi|1822133639|gb|MN294713.1|	gi|1822133639|gb|MN294713.1| Cloning vector 1-UBI_Cas9_PinII, complete sequence	9396	80	79	98.75	1.41	0.85	4.22623e-28	143.312
Base_seq_3	5655	gi|1142720250|emb|LT726875.1|	gi|1142720250|emb|LT726875.1| Vector pEntry-attR2-IRES-eGFP-luc+-pA-attL3, complete sequence	6273	2457	2430	98.9	43.45	39.17	0.0	4370.29
Base_seq_3	5655	gi|1142720250|emb|LT726875.1|	gi|1142720250|emb|LT726875.1| Vector pEntry-attR2-IRES-eGFP-luc+-pA-attL3, complete sequence	6273	721	721	100.0	12.75	11.49	0.0	1332.55
Base_seq_3	5655	gi|1142720250|emb|LT726875.1|	gi|1142720250|emb|LT726875.1| Vector pEntry-attR2-IRES-eGFP-luc+-pA-attL3, complete sequence	6273	95	92	96.84	1.68	1.51	4.19644e-33	159.932
