Plasmid_ID,reason failed
seq_0,No ORI; No ARG
seq_1,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_10,No ORI; No ARG
seq_11,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_12,No ORI; No ARG; repeat ≥ 50
seq_13,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); repeat ≥ 50"
seq_15,"ARG low-threshold count 0 outside [1,1]"
seq_16,No ORI; No ARG
seq_17,"ARG low-threshold count 0 outside [1,1]"
seq_18,No ORI; No ARG
seq_19,"ARG low-threshold count 0 outside [1,1]"
seq_2,No ORI; No ARG
seq_20,No ORI; No ARG
seq_21,"ORI low-threshold count 0 outside [1,1]; repeat ≥ 50"
seq_23,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_24,"ORI low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_25,No ORI; No ARG
seq_26,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_27,"ARG low-threshold count 0 outside [1,1]"
seq_28,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_3,No ORI; No ARG; repeat ≥ 50
seq_30,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0); repeat ≥ 50"
seq_31,No ORI; No ARG
seq_32,No ORI; No ARG
seq_33,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_34,"ORI low-threshold count 3 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
seq_35,"ORI low-threshold count 4 outside [1,1]; ARG low-threshold count 3 outside [1,1]; repeat ≥ 50"
seq_37,No ORI; No ARG
seq_38,"ARG low-threshold count 2 outside [1,1]"
seq_39,repeat ≥ 50
seq_4,No ORI; No ARG
seq_40,"ARG low-threshold count 0 outside [1,1]"
seq_41,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 4 outside [1,1]; repeat ≥ 50"
seq_42,No ORI; No ARG
seq_43,"ARG strict count 0 < required 1 (ID≥100.0, Cov≥100.0)"
seq_45,"ORI strict count 0 < required 1 (ID≥99.0, Cov≥99.0)"
seq_47,No ORI; No ARG
seq_48,"ORI low-threshold count 2 outside [1,1]; ARG low-threshold count 2 outside [1,1]; repeat ≥ 50"
