query_id	query_length	subject_id	subject_title	subject_length	align_length	identities	pct_identity	query_coverage	subject_coverage	evalue	bitscore
SFT_seq_0	8380	gi|332650943|gb|JF327847.1|	gi|332650943|gb|JF327847.1| Expression vector LIC-pDEST-LC2, complete sequence	6349	4569	4565	99.91	54.52	71.96	0.0	8412.61
SFT_seq_0	8380	gi|332650943|gb|JF327847.1|	gi|332650943|gb|JF327847.1| Expression vector LIC-pDEST-LC2, complete sequence	6349	45	45	100.0	0.54	0.71	3.85784e-10	84.2195
SFT_seq_0	8380	gi|332650941|gb|JF327846.1|	gi|332650941|gb|JF327846.1| Expression vector LIC-pDEST-LC1, complete sequence	6366	4572	4567	99.89	54.56	71.82	0.0	8412.61
SFT_seq_0	8380	gi|332650941|gb|JF327846.1|	gi|332650941|gb|JF327846.1| Expression vector LIC-pDEST-LC1, complete sequence	6366	45	45	100.0	0.54	0.71	3.85784e-10	84.2195
SFT_seq_0	8380	gi|1781339263|gb|MK910749.1|	gi|1781339263|gb|MK910749.1| Expression vector pDEST17-AceKMs, complete sequence	5842	4502	4498	99.91	53.72	77.06	0.0	8288.88
SFT_seq_0	8380	gi|1781339263|gb|MK910749.1|	gi|1781339263|gb|MK910749.1| Expression vector pDEST17-AceKMs, complete sequence	5842	63	63	100.0	0.75	1.08	3.80364e-20	117.459
SFT_seq_0	8380	gi|1781339263|gb|MK910749.1|	gi|1781339263|gb|MK910749.1| Expression vector pDEST17-AceKMs, complete sequence	5842	73	67	91.78	0.87	1.25	4.95525e-14	97.1461
SFT_seq_0	8380	gi|1781339275|gb|MK910753.1|	gi|1781339275|gb|MK910753.1| Expression vector pCJH5_pDEST17-EcG3PD, complete sequence	5734	4502	4498	99.91	53.72	78.51	0.0	8288.88
SFT_seq_0	8380	gi|1781339275|gb|MK910753.1|	gi|1781339275|gb|MK910753.1| Expression vector pCJH5_pDEST17-EcG3PD, complete sequence	5734	63	63	100.0	0.75	1.1	3.80364e-20	117.459
SFT_seq_0	8380	gi|1781339275|gb|MK910753.1|	gi|1781339275|gb|MK910753.1| Expression vector pCJH5_pDEST17-EcG3PD, complete sequence	5734	73	67	91.78	0.87	1.27	4.95525e-14	97.1461
SFT_seq_0	8380	gi|3168962|emb|AJ006407.1|	gi|3168962|emb|AJ006407.1| Bacillus intermedius plasmid pET3xa-barn36, gene encoding barnase	4753	4448	4447	99.98	53.08	93.58	0.0	8209.48
SFT_seq_0	8380	gi|3168962|emb|AJ006407.1|	gi|3168962|emb|AJ006407.1| Bacillus intermedius plasmid pET3xa-barn36, gene encoding barnase	4753	122	122	100.0	1.46	2.57	6.05731e-53	226.412
SFT_seq_0	8380	gi|3168962|emb|AJ006407.1|	gi|3168962|emb|AJ006407.1| Bacillus intermedius plasmid pET3xa-barn36, gene encoding barnase	4753	46	46	100.0	0.55	0.97	1.07262e-10	86.0662
SFT_seq_1	7194	gi|1272206680|gb|KY349820.1|	gi|1272206680|gb|KY349820.1| Synthetic construct verrucomicrobium spinosum tyrosinase (Tyr) and ampi	3723	2603	2599	99.85	36.18	69.92	0.0	4783.94
SFT_seq_1	7194	gi|1272206680|gb|KY349820.1|	gi|1272206680|gb|KY349820.1| Synthetic construct verrucomicrobium spinosum tyrosinase (Tyr) and ampi	3723	903	903	100.0	12.55	24.25	0.0	1668.64
SFT_seq_1	7194	gi|1272206680|gb|KY349820.1|	gi|1272206680|gb|KY349820.1| Synthetic construct verrucomicrobium spinosum tyrosinase (Tyr) and ampi	3723	439	439	100.0	6.1	11.79	0.0	811.799
SFT_seq_1	7194	gi|169730553|gb|EU418501.1|	gi|169730553|gb|EU418501.1| Cloning vector pDSBA-TEV DsbA mutant/His-tag/TEV protease mutant fusion 	4132	2603	2599	99.85	36.18	63.0	0.0	4783.94
SFT_seq_1	7194	gi|169730553|gb|EU418501.1|	gi|169730553|gb|EU418501.1| Cloning vector pDSBA-TEV DsbA mutant/His-tag/TEV protease mutant fusion 	4132	903	903	100.0	12.55	21.85	0.0	1668.64
SFT_seq_1	7194	gi|169730553|gb|EU418501.1|	gi|169730553|gb|EU418501.1| Cloning vector pDSBA-TEV DsbA mutant/His-tag/TEV protease mutant fusion 	4132	439	439	100.0	6.1	10.62	0.0	811.799
