sequence,symbol,name,start,end,strand,pct_identity,pct_cov
seq_1,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1868,2725,-,100.0,100.0
seq_1,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,4715,5506,-,100.0,100.0
seq_1,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,7524,8315,-,100.0,100.0
seq_1,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,10542,11333,-,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1352,2209,-,100.0,100.0
seq_11,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,4141,4998,-,100.0,100.0
seq_13,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2027,2884,-,100.0,100.0
seq_14,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,587,1444,+,100.0,100.0
seq_14,tet(C),tetracycline efflux MFS transporter Tet(C),3466,4086,-,100.0,52.27
seq_21,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,1404,2192,-,100.0,100.0
seq_22,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1269,2126,-,100.0,100.0
seq_23,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2696,3487,-,100.0,100.0
seq_23,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,5745,6557,-,100.0,100.0
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,6715,7572,-,100.0,100.0
seq_23,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,10759,11616,-,100.0,100.0
seq_24,blaTEM,TEM family class A beta-lactamase,2949,3806,+,97.55,100.0
seq_26,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,870,1727,+,100.0,100.0
seq_26,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,7198,8055,-,100.0,100.0
seq_28,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1017,1874,-,100.0,100.0
seq_28,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,3712,4500,-,100.0,100.0
seq_28,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,6560,7348,-,100.0,100.0
seq_29,aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,1219,1680,+,100.0,100.0
seq_30,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,938,1726,-,100.0,100.0
seq_33,catA1,type A-1 chloramphenicol O-acetyltransferase,1573,2229,-,100.0,100.0
seq_33,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,6183,6974,-,100.0,100.0
seq_34,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,4391,5203,-,100.0,100.0
seq_34,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,10115,10927,-,100.0,100.0
seq_35,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2063,2854,-,100.0,100.0
seq_35,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5425,6282,-,100.0,100.0
seq_35,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,8009,8866,-,100.0,100.0
seq_36,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2371,3228,-,100.0,100.0
seq_38,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1473,2330,-,100.0,100.0
seq_38,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,2351,3142,-,100.0,100.0
seq_39,aph(3')-IIa,aminoglycoside O-phosphotransferase APH(3')-IIa,3420,4211,-,100.0,100.0
seq_41,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,2173,3030,+,100.0,100.0
seq_41,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,5312,6169,+,100.0,100.0
seq_41,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,8732,9544,-,100.0,100.0
seq_41,catA1,type A-1 chloramphenicol O-acetyltransferase,10104,10760,+,100.0,100.0
seq_43,blaTEM,TEM family class A beta-lactamase,1051,1908,+,99.65,100.0
seq_44,blaTEM-171,class A beta-lactamase TEM-171,4504,5361,-,100.0,100.0
seq_45,catA1,type A-1 chloramphenicol O-acetyltransferase,1173,1829,+,100.0,100.0
seq_46,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1599,2456,+,100.0,100.0
seq_48,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,824,1681,+,100.0,100.0
seq_48,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,6616,7473,+,100.0,100.0
seq_49,catA1,type A-1 chloramphenicol O-acetyltransferase,1238,1894,+,100.0,100.0
seq_5,catA1,type A-1 chloramphenicol O-acetyltransferase,2143,2799,-,99.54,100.0
seq_51,blaTEM-116,broad-spectrum class A beta-lactamase TEM-116,1564,2421,+,100.0,100.0
